Cell_ID,BSSID,RSSI,Mean,Std
Cell_7,d0:4d:c6:f2:fc:92,-71,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-71,-72.73033708,1.612897769
Cell_7,1c:28:af:65:fe:b0,-82,-83.4,2.581988897
Cell_7,d0:4d:c6:f3:03:b0,-85,-87.69444444,1.430218407
Cell_7,d0:4d:c6:f3:03:b1,-85,-87.87142857,1.472814881
Cell_7,d0:4d:c6:f3:03:b2,-84,-87.5890411,1.594817089
Cell_7,1c:28:af:62:64:40,-67,-68.30555556,0.907360165
Cell_7,1c:28:af:62:64:41,-68,-68.19444444,0.907360165
Cell_7,1c:28:af:65:fe:b2,-82,-83.60759494,2.688078329
Cell_7,1c:28:af:62:64:42,-68,-68.5125,0.948600943
Cell_7,1c:28:af:65:fe:b1,-82,-83.7972973,2.630279657
Cell_7,d0:4d:c6:f2:43:b0,-41,-40.53333333,1.066666667
Cell_7,d0:4d:c6:f2:43:b1,-41,-40.52222222,1.087584252
Cell_7,d0:4d:c6:f2:43:b2,-41,-40.6,1.093414631
Cell_7,d0:4d:c6:f2:81:00,-65,-64.28089888,1.842011383
Cell_7,d0:4d:c6:f2:43:a0,-48,-46.42528736,0.782453905
Cell_7,1c:28:af:65:ba:50,-89,-90.71428571,0.93313895
Cell_7,d0:4d:c6:f2:43:a1,-48,-46.55172414,0.690803641
Cell_7,d0:4d:c6:f2:43:a2,-48,-46.61176471,0.68760655
Cell_7,1c:28:af:65:ba:52,-89,-91.04347826,0.750551152
Cell_7,d0:4d:c6:f2:5d:52,-76,-76.61111111,1.122442223
Cell_7,d0:4d:c6:f2:5d:51,-76,-76.83146067,1.182607622
Cell_7,d0:4d:c6:f2:5d:50,-76,-76.74157303,1.175862962
Cell_7,d0:4d:c6:f2:81:02,-65,-64.59090909,1.703181272
Cell_7,1c:28:af:65:e6:f0,-89,-88.69230769,1.101370851
Cell_7,1c:28:af:65:e6:f1,-87,-88.55555556,0.955813919
Cell_7,1c:28:af:65:e6:f2,-89,-88.36,1.015086203
Cell_7,1c:28:af:65:fd:d1,-83,-85.30337079,1.409474317
Cell_7,1c:28:af:65:fd:d0,-82,-85.06896552,1.499372309
Cell_7,d0:4d:c6:f2:34:f1,-91,-91.18181818,0.935966376
Cell_7,d0:4d:c6:f2:34:f0,-91,-91.0952381,0.749905512
Cell_7,d0:4d:c6:f2:34:f2,-90,-90.875,0.665363309
Cell_7,1c:28:af:62:64:50,-77,-77.71590909,0.987983065
Cell_7,1c:28:af:62:64:51,-77,-77.96629213,1.075252134
Cell_7,d0:4d:c6:f2:50:90,-82,-83.32467532,1.155917114
Cell_7,1c:28:af:62:64:52,-76,-77.58426966,1.08936626
Cell_7,1c:28:af:65:fd:d2,-82,-85.10227273,1.438431696
Cell_7,1c:28:af:61:e5:d2,-86,-86.5942029,1.219632168
Cell_7,1c:28:af:61:e5:d0,-86,-86.64705882,1.257503431
Cell_7,1c:28:af:61:e5:d1,-85,-86.71830986,1.474507305
Cell_7,1c:28:af:61:df:11,-89,-91.2195122,0.644382674
Cell_7,1c:28:af:61:df:12,-91,-91.1,0.663324958
Cell_7,1c:28:af:61:df:10,-90,-91.16216216,0.788892947
Cell_7,d0:4d:c6:f2:fc:90,-72,-72.64772727,1.530298342
Cell_7,d0:4d:c6:f2:fc:92,-72,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-72,-72.73033708,1.612897769
Cell_7,1c:28:af:65:fe:b0,-81,-83.4,2.581988897
Cell_7,d0:4d:c6:f3:03:b0,-84,-87.69444444,1.430218407
Cell_7,1c:28:af:62:04:a1,-84,-84.19354839,0.819888066
Cell_7,d0:4d:c6:f3:03:b1,-85,-87.87142857,1.472814881
Cell_7,d0:4d:c6:f3:03:b2,-84,-87.5890411,1.594817089
Cell_7,1c:28:af:62:04:a0,-84,-84.5,0.645497224
Cell_7,1c:28:af:62:04:a2,-83,-83.925,0.848159773
Cell_7,1c:28:af:62:64:40,-67,-68.30555556,0.907360165
Cell_7,1c:28:af:62:64:41,-67,-68.19444444,0.907360165
Cell_7,1c:28:af:65:fe:b2,-81,-83.60759494,2.688078329
Cell_7,1c:28:af:65:fe:b1,-82,-83.7972973,2.630279657
Cell_7,d0:4d:c6:f2:43:b0,-41,-40.53333333,1.066666667
Cell_7,d0:4d:c6:f2:43:b1,-41,-40.52222222,1.087584252
Cell_7,d0:4d:c6:f2:43:b2,-41,-40.6,1.093414631
Cell_7,d0:4d:c6:f2:81:00,-64,-64.28089888,1.842011383
Cell_7,d0:4d:c6:f2:43:a0,-47,-46.42528736,0.782453905
Cell_7,1c:28:af:65:ba:50,-90,-90.71428571,0.93313895
Cell_7,d0:4d:c6:f2:43:a1,-47,-46.55172414,0.690803641
Cell_7,d0:4d:c6:f2:43:a2,-47,-46.61176471,0.68760655
Cell_7,d0:4d:c6:f2:fc:81,-69,-73.58536585,1.820956727
Cell_7,d0:4d:c6:f2:fc:82,-69,-74.15909091,1.691464962
Cell_7,d0:4d:c6:f2:5d:52,-78,-76.61111111,1.122442223
Cell_7,d0:4d:c6:f2:5d:51,-78,-76.83146067,1.182607622
Cell_7,d0:4d:c6:f2:5d:50,-78,-76.74157303,1.175862962
Cell_7,d0:4d:c6:f2:81:02,-64,-64.59090909,1.703181272
Cell_7,1c:28:af:65:e6:f0,-87,-88.69230769,1.101370851
Cell_7,1c:28:af:65:e6:f1,-87,-88.55555556,0.955813919
Cell_7,1c:28:af:65:e6:f2,-86,-88.36,1.015086203
Cell_7,1c:28:af:65:fd:d1,-79,-85.30337079,1.409474317
Cell_7,1c:28:af:65:fd:d0,-79,-85.06896552,1.499372309
Cell_7,1c:28:af:62:64:50,-73,-77.71590909,0.987983065
Cell_7,1c:28:af:62:64:51,-73,-77.96629213,1.075252134
Cell_7,d0:4d:c6:f2:50:90,-83,-83.32467532,1.155917114
Cell_7,1c:28:af:65:fe:a2,-84,-83.48484848,1.018650686
Cell_7,1c:28:af:62:64:52,-73,-77.58426966,1.08936626
Cell_7,1c:28:af:65:fd:d2,-79,-85.10227273,1.438431696
Cell_7,1c:28:af:65:fd:c0,-78,-82,2.109502311
Cell_7,1c:28:af:65:fd:c2,-79,-81.23255814,2.100245936
Cell_7,1c:28:af:65:fd:c1,-78,-81.22222222,2.056306169
Cell_7,1c:28:af:61:e5:d2,-85,-86.5942029,1.219632168
Cell_7,1c:28:af:61:e5:d0,-86,-86.64705882,1.257503431
Cell_7,1c:28:af:61:e5:d1,-86,-86.71830986,1.474507305
Cell_7,1c:28:af:61:df:12,-92,-91.1,0.663324958
Cell_7,d0:4d:c6:f2:fc:90,-72,-72.64772727,1.530298342
Cell_7,d0:4d:c6:f2:fc:92,-72,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-72,-72.73033708,1.612897769
Cell_7,d0:4d:c6:f3:03:b0,-85,-87.69444444,1.430218407
Cell_7,d0:4d:c6:f3:03:b1,-86,-87.87142857,1.472814881
Cell_7,d0:4d:c6:f3:03:b2,-85,-87.5890411,1.594817089
Cell_7,1c:28:af:62:64:40,-69,-68.30555556,0.907360165
Cell_7,1c:28:af:62:64:41,-69,-68.19444444,0.907360165
Cell_7,1c:28:af:65:fe:b2,-82,-83.60759494,2.688078329
Cell_7,1c:28:af:62:64:42,-69,-68.5125,0.948600943
Cell_7,1c:28:af:65:fe:b1,-83,-83.7972973,2.630279657
Cell_7,d0:4d:c6:f2:43:b0,-43,-40.53333333,1.066666667
Cell_7,d0:4d:c6:f2:43:b1,-43,-40.52222222,1.087584252
Cell_7,d0:4d:c6:f2:43:b2,-43,-40.6,1.093414631
Cell_7,d0:4d:c6:f2:81:00,-65,-64.28089888,1.842011383
Cell_7,d0:4d:c6:f2:43:a0,-49,-46.42528736,0.782453905
Cell_7,1c:28:af:65:ba:50,-89,-90.71428571,0.93313895
Cell_7,d0:4d:c6:f2:43:a1,-49,-46.55172414,0.690803641
Cell_7,d0:4d:c6:f2:43:a2,-49,-46.61176471,0.68760655
Cell_7,1c:28:af:65:ba:52,-89,-91.04347826,0.750551152
Cell_7,d0:4d:c6:f2:fc:81,-68,-73.58536585,1.820956727
Cell_7,d0:4d:c6:f2:fc:80,-68,-74.14634146,1.894291496
Cell_7,d0:4d:c6:f2:fc:82,-69,-74.15909091,1.691464962
Cell_7,d0:4d:c6:f2:5d:52,-76,-76.61111111,1.122442223
Cell_7,d0:4d:c6:f2:5d:51,-76,-76.83146067,1.182607622
Cell_7,d0:4d:c6:f2:5d:50,-76,-76.74157303,1.175862962
Cell_7,d0:4d:c6:f2:81:02,-65,-64.59090909,1.703181272
Cell_7,1c:28:af:65:e6:f0,-89,-88.69230769,1.101370851
Cell_7,1c:28:af:65:e6:f1,-88,-88.55555556,0.955813919
Cell_7,1c:28:af:65:fd:d1,-82,-85.30337079,1.409474317
Cell_7,1c:28:af:65:fd:d0,-81,-85.06896552,1.499372309
Cell_7,d0:4d:c6:f3:03:a0,-83,-86.5,1.762708954
Cell_7,d0:4d:c6:f3:03:a1,-83,-86.71428571,1.220571964
Cell_7,d0:4d:c6:f3:03:a2,-82,-86.76470588,1.515776321
Cell_7,1c:28:af:62:64:50,-78,-77.71590909,0.987983065
Cell_7,1c:28:af:62:64:51,-78,-77.96629213,1.075252134
Cell_7,d0:4d:c6:f2:50:90,-81,-83.32467532,1.155917114
Cell_7,1c:28:af:62:64:52,-77,-77.58426966,1.08936626
Cell_7,1c:28:af:65:fd:d2,-81,-85.10227273,1.438431696
Cell_7,d0:4d:c6:f2:50:82,-75,-76.60416667,1.131731405
Cell_7,1c:28:af:61:e5:d2,-85,-86.5942029,1.219632168
Cell_7,1c:28:af:61:e5:d0,-85,-86.64705882,1.257503431
Cell_7,1c:28:af:61:e5:d1,-85,-86.71830986,1.474507305
Cell_7,1c:28:af:61:df:11,-90,-91.2195122,0.644382674
Cell_7,1c:28:af:61:df:12,-90,-91.1,0.663324958
Cell_7,1c:28:af:61:df:10,-89,-91.16216216,0.788892947
Cell_7,d0:4d:c6:f2:fc:90,-71,-72.64772727,1.530298342
Cell_7,d0:4d:c6:f2:fc:92,-71,-72.74157303,1.583113771
Cell_7,d0:4d:c6:f2:fc:91,-71,-72.73033708,1.612897769
Cell_7,1c:28:af:65:fe:b0,-81,-83.4,2.581988897
